,date,favorite_count,keyword,location,text,user,object_of_sentiment,salience,magnitude,sentiment_score,person
0,Sun Jul 21 14:41:32 +0000 2019,0,syriza,Athens,RT @BrunoTersago: New Greek government to submit provision for slashing ENFIA tax by 20 pct in August https://t.co/6Cri0zPUbQ Wasn't this a,faidr,,,,,
1,Sun Jul 21 12:51:30 +0000 2019,0,syriza,Athens,"RT @OmairaGill: So in the two weeks since New Democracy came into power we've had a freak cyclone in northern Greece, torrential summer rai",ioannou_dim,,,,,
2,Sun Jul 21 09:23:39 +0000 2019,14,syriza,Athens,New Greek government to submit provision for slashing ENFIA tax by 20 pct in August https://t.co/6Cri0zPUbQ Wasn't https://t.co/ZoGMON6QXq,BrunoTersago,,,,,
3,Sun Jul 21 06:51:53 +0000 2019,1,syriza,Athens,"@GreekAnalyst Different cultures, different approaches.
Truly hope that 4  Syriza nightmare is put behind us.
Lets https://t.co/B39cgupbZe",ggoufas,,,,,
4,Sat Jul 20 14:38:38 +0000 2019,0,syriza,Athens,RT @adiavroxoi: @OmairaGill I think you are a syriza supporter. Dont mess with the Greek gods. They dont like atheists like syrizas part,CuriousIsaurian,,,,,
5,Sat Jul 20 14:35:19 +0000 2019,3,syriza,Athens,@OmairaGill I think you are a syriza supporter. Dont mess with the Greek gods. They dont like atheists like syriz https://t.co/qoFaNIN4PW,adiavroxoi,,,,,
6,Sat Jul 20 04:59:56 +0000 2019,0,syriza,Athens,RT @yanisvaroufakis: How Syrizas capitulations allowed the Greek right to escape the dustbin of history: The left-wing partys embrace of,QuitoDelaCruz,,,,,
7,Fri Jul 19 14:11:22 +0000 2019,2,syriza,Athens,@OmairaGill @Cult24gr maybe the syriza voters are low iq people,elias244,,,,,
8,Sat Jul 20 05:46:37 +0000 2019,0,syriza,Thessaloniki,"RT @VTsaxarli: @OmairaGill Now that you mention it honey, Enceladus was a second class deity, not a god but a Giant, never made it to A-lis",sheikyerbutti,,,,,
9,Fri Jul 19 22:56:40 +0000 2019,21,syriza,Thessaloniki,"@OmairaGill Now that you mention it honey, Enceladus was a second class deity, not a god but a Giant, never made it https://t.co/Eq8sz5Fy39",VTsaxarli,,,,,
10,Sat Jul 13 17:36:03 +0000 2019,0,syriza,Thessaloniki,RT @experimentalis: Rats jumping from the sheep. Slavoj Zizek: Syriza's election defeat was secured the moment they caved in to the forces,ioannaztaliou,,,,,
11,Sat Jul 13 15:58:13 +0000 2019,0,syriza,Thessaloniki,Rats jumping from the sheep. Slavoj Zizek: Syriza's election defeat was secured the moment they caved in to the for https://t.co/PT3dhCyn4A,experimentalis,,,,,
12,Sat Jul 13 06:59:19 +0000 2019,0,syriza,Thessaloniki,"RT @teacherdude: In an onscreen TV outburst, Babis Papadimitriou, Greek journalist (and now New Democracy MP) accused fellow reporters with",DirenenSerdar,,,,,
13,Fri Jul 12 10:06:07 +0000 2019,6,syriza,Thessaloniki,"In an onscreen TV outburst, Babis Papadimitriou, Greek journalist (and now New Democracy MP) accused fellow reporte https://t.co/sagnOde2ZK",teacherdude,,,,,
14,Sun Jul 21 15:04:23 +0000 2019,0,syriza,Europe,@KatPanagopoulou @YiannisLoverdos But they are sad that their ally didnt make it. They overthrew Samaras together. https://t.co/DivupTmuMy,atheniancapital,,,,,
15,Sun Jul 21 15:03:21 +0000 2019,0,syriza,Europe,@jon_halsall @CJFDillow At what point would you say Syriza 'failed' or was 'an abject failure'? Because the 13 Blai https://t.co/gNF7RHRSoD,ElGrouty,,,,,
16,Sun Jul 21 14:46:10 +0000 2019,0,syriza,Europe,@jon_halsall @CJFDillow Might mirror but doesn't explain. Also overlooks fact centre left Psoe eating up Podemos vo https://t.co/ndgmlVzsqw,ElGrouty,,,,,
17,Sun Jul 21 14:24:54 +0000 2019,0,syriza,Europe,"RT @ikostaki: .@kmitsotakis did not use not even once the words "" Tsipras @atsipras"" and SYRIZA @syriza_gr during his speech about of the p",RenosLek,,,,,
18,Sun Jul 21 08:41:44 +0000 2019,0,syriza,Europe,@omadaalithias Who introduced that? SYRIZA?,Tony95396125,,,,,
19,Sat Jul 20 17:22:31 +0000 2019,0,syriza,Europe,"RT @oeufling: ""Only propose an agenda to take on powerful interests if you have a strategy to fight them and fully intend to pursue it."" Sp",DavidMerrill21,,,,,
20,Sat Jul 20 17:14:25 +0000 2019,80,syriza,Europe,".@kmitsotakis did not use not even once the words "" Tsipras @atsipras"" and SYRIZA @syriza_gr during his speech abou https://t.co/zTOWAswZxe",ikostaki,,,,,
21,Sat Jul 20 16:50:27 +0000 2019,0,syriza,Europe,"RT @Centrist101: Someone f***ed up at Sky. 

This guy is an economist &amp; former Syriza supporter (Very Left leaning party that lost power in",FatalePhlegm,,,,,
